alpha,avg_epochs,std_epochs,avg_time_sec,std_time_sec,avg_epoch_time_sec,std_epoch_time_sec
0.1,120.2,37.514797080618735,224.9152626991272,68.91911329694099,1.8737191442593013,0.016184501813882014
0.2,133.4,26.911707489492375,250.10826768875123,48.554949507533486,1.87798479537243,0.025839873825557833
0.30000000000000004,112.6,25.935304123915724,213.80130376815796,49.14577778780401,1.8994120381300956,0.016867132586801892
0.4,127.4,20.32338554473639,242.47046122550964,39.484336136997555,1.902301820057573,0.011472318682673168
0.5,106.6,18.315021157508937,201.17439708709716,33.942996818180255,1.8880990277044318,0.009307736834004328
0.6,141.4,10.89219904335208,269.58808917999266,20.73326118992313,1.9066875501357352,0.01863098562345571
0.7000000000000001,142.2,15.03861695768597,268.79419898986816,29.01544930750691,1.8898544657497918,0.008994789077404274
0.8,119.4,24.2619042945932,226.1758659362793,45.952538054632825,1.8942019642619656,0.019573958602732335
0.9,125.0,27.003703449712226,238.76275429725646,53.82050672382144,1.9061464032352409,0.025101895789387662
1.0,129.6,39.000512817141264,244.89600439071654,75.46682397768792,1.8870550962241013,0.021012586852718274
